gene_accession,cipbeta0none_S2,cipbeta0none_S1,cipbeta0none_S3
MEG_845|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,16.0
MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,5114.0,7847.0,6288.0
MEG_2687|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,98.0,175.0,116.0
MEG_943|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,18.0
MEG_7974|Drugs|betalactams|Class_C_betalactamase_regulator|AMPCR|RequiresSNPConfirmation,661.0,1074.0,853.0
MEG_2453|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS,5427.0,8136.0,6519.0
MEG_2995|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0.0,43.0,23.0
MEG_1359|Drugs|betalactams|Class_A_betalactamases|BLAZ,52.0,0.0,0.0
MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,2981.0,4601.0,3779.0
MEG_6163|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,78.0,117.0,104.0
MEG_2949|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,35.0,13.0
MEG_8144|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,108.0,242.0,341.0
MEG_3207|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7859|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC,2740.0,4514.0,3644.0
MEG_7044|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,0.0,290.0
MEG_5032|Drugs|betalactams|Class_D_betalactamases|OXA,0.0,0.0,15.0
MEG_1039|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.0,0.0,33.0
MEG_8447|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,52.0,90.0,120.0
MEG_6639|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIII,25.0,0.0,0.0
MEG_6956|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERB,5.0,30.0,0.0
MEG_6959|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERE,0.0,208.0,101.0
MEG_3448|Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE,3206.0,5004.0,3720.0
MEG_6889|Drugs|betalactams|Class_A_betalactamases|TEM,21.0,0.0,76.0
MEG_3883|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR,98.0,97.0,104.0
MEG_4361|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,0.0,73.0
MEG_4123|Metals|Nickel_resistance|Nickel_MFS_efflux_regulator|NCRBN,81.0,25.0,132.0
MEG_7093|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,56.0,87.0,0.0
MEG_8080|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|EPTB,2394.0,4052.0,3415.0
