gene_accession,cipdic0none_S2,cipdic0none_S1,cipdic0none_S3
MEG_7108|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,157.0
MEG_8709|Drugs|betalactams|Class_A_betalactamases|TEM,39.0,0.0,0.0
MEG_4325|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,133.0,224.0,39.0
MEG_2547|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,5.0,0.0
MEG_7864|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|ZRAS,7851.0,7477.0,7970.0
MEG_2080|Metals|Copper_resistance|Copper_resistance_regulator|COPY,0.0,0.0,54.0
MEG_1370|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,34.0,0.0
MEG_8145|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,159.0,0.0,0.0
MEG_5852|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACL,0.0,8.0,0.0
MEG_2679|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,242.0,212.0,215.0
MEG_2677|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,224.0,198.0,147.0
MEG_1690|Drugs|betalactams|Class_A_betalactamases|CFX,19.0,0.0,0.0
MEG_1275|Drugs|betalactams|Class_C_betalactamases|BLAEC,295.0,165.0,201.0
MEG_3833|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,0.0,35.0,0.0
MEG_701|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEN,16.0,112.0,0.0
MEG_4028|Drugs|MLS|Macrolide_phosphotransferases|MPHA,0.0,47.0,20.0
MEG_7831|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW,3660.0,3448.0,3183.0
MEG_3189|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6097|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2452|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSR,5988.0,5805.0,4995.0
MEG_3079|Biocides|Acid_resistance|Acid_resistance_protein|GADC,9004.0,8495.0,8302.0
MEG_690|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,0.0,66.0,0.0
MEG_7319|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,2.0,8.0,3.0
MEG_681|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEE,73.0,581.0,0.0
MEG_1057|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,703.0,155.0,108.0
MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE,8802.0,8202.0,7734.0
MEG_3648|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAE,0.0,0.0,23.0
MEG_1302|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR,0.0,152.0,0.0
MEG_8151|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,3875.0,4251.0,2157.0
MEG_2088|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORB,4858.0,5084.0,4169.0
MEG_6928|Drugs|betalactams|Class_A_betalactamases|TEM,207.0,0.0,51.0
MEG_2546|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,9.0,0.0,0.0
MEG_369|Drugs|Fosfomycin|Fosfomycin_MFS_efflux_pump|ABAF,53.0,0.0,0.0
MEG_3662|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,1819.0,1628.0,1758.0
MEG_2529|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,35.0,11.0,0.0
MEG_7135|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,416.0
MEG_2449|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,350.0,1619.0,1136.0
MEG_6742|Drugs|betalactams|Class_A_betalactamases|TEM,37.0,0.0,25.0
MEG_1579|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,13.0,0.0,0.0
MEG_3764|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTO,15163.0,14399.0,13405.0
MEG_2643|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,47.0,11.0,0.0
MEG_6351|Drugs|betalactams|Class_A_betalactamases|SHV,25.0,0.0,0.0
MEG_4009|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,2657.0,2554.0,2302.0
MEG_3834|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,0.0,51.0,0.0
MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC,22417.0,22047.0,19385.0
MEG_7042|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,1508.0,19.0,0.0
MEG_7016|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,32.0,125.0,36.0
MEG_1181|Biocides|Acid_resistance|Acid_resistance_protein|ASR,2070.0,2100.0,1690.0
MEG_973|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,14.0,0.0,0.0
MEG_968|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,122.0,0.0,0.0
MEG_5409|Drugs|betalactams|Penicillin_binding_protein|PBP4B,9594.0,9197.0,8406.0
MEG_3897|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,93.0,623.0,333.0
MEG_6123|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1.0,4.0,4.0
MEG_3836|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_regulator|MEPR,0.0,91.0,0.0
MEG_7040|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,793.0,0.0,0.0
MEG_6889|Drugs|betalactams|Class_A_betalactamases|TEM,222.0,0.0,97.0
MEG_2875|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI,6269.0,5836.0,5648.0
MEG_6910|Drugs|betalactams|Class_A_betalactamases|TEM,203.0,0.0,60.0
MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR,4580.0,4448.0,4070.0
MEG_2638|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0.0,8.0,0.0
MEG_6794|Drugs|betalactams|Class_A_betalactamases|TEM,46.0,0.0,0.0
MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH,8486.0,7956.0,7448.0
MEG_3831|Drugs|Lipopeptides|Lysocin-resistant_mutant|MENA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_8238|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,96.0,56.0,114.0
MEG_6044|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMA,41.0,24.0,43.0
MEG_2584|Drugs|betalactams|Class_C_betalactamases|DHA,27.0,0.0,0.0
MEG_7185|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,203.0,410.0,145.0
MEG_46|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0.0,0.0,17.0
MEG_171|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,0.0,16.0
MEG_5332|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,4.0,1.0
MEG_3642|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,0.0,130.0,0.0
MEG_6551|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS,3127.0,3020.0,2823.0
MEG_4167|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKA,12273.0,12132.0,10846.0
MEG_3140|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,799.0,1011.0,646.0
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,2.0
MEG_8087|Biocides|Aldehyde_resistance|Aldehyde_degradation|FORMA,0.0,0.0,1952.0
MEG_21|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0.0,27.0,17.0
MEG_6622|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,17.0,60.0,47.0
