gene_accession,cipdic20_S3,cipdic20_S2,cipdic20_S1
MEG_6829|Drugs|betalactams|Class_A_betalactamases|TEM,37.0,16.0,0.0
MEG_4331|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,427.0,44.0,0.0
MEG_969|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,30.0,0.0,0.0
MEG_8643|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB,0.0,83.0,52.0
MEG_7581|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,0.0,0.0,75.0
MEG_4000|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTR,3011.0,4116.0,2618.0
MEG_6943|Drugs|betalactams|Class_A_betalactamases|TEM,25.0,0.0,0.0
MEG_6359|Drugs|betalactams|Class_A_betalactamases|SHV,35.0,0.0,0.0
MEG_1057|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,381.0,980.0,0.0
MEG_2337|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,22.0,0.0
MEG_1084|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,566.0,1360.0,15.0
MEG_6961|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERZ,1369.0,8.0,26.0
MEG_6627|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,273.0,508.0,89.0
MEG_2160|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,17.0,0.0
MEG_6550|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB,784.0,1222.0,839.0
MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,1024.0,3132.0,2516.0
MEG_875|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,109.0,26.0,0.0
MEG_3754|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,2792.0,2696.0,1592.0
MEG_2451|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF,1820.0,3030.0,1762.0
MEG_2873|Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7152|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,0.0,57.0,0.0
MEG_959|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,164.0,14.0,0.0
MEG_2484|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,27.0,9.0
MEG_6983|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET38,0.0,485.0,365.0
MEG_1691|Drugs|betalactams|Class_A_betalactamases|CFX,24.0,0.0,18.0
MEG_5783|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|PHOB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_4352|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,250.0,0.0,0.0
MEG_6576|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,377.0,615.0,396.0
MEG_7020|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,682.0,246.0,0.0
MEG_6118|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,2.0,1.0
MEG_5964|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0.0,0.0,113.0
MEG_767|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,41.0,11.0,0.0
MEG_1116|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,0.0,0.0,127.0
MEG_2482|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,177.0,0.0,0.0
MEG_6959|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERE,170.0,115.0,173.0
