gene_accession,cipmet0_S1,cipmet0none_S3,cipmet0none_S2,cipmet0_S2,cipmet0none_S1,cipmet0_S3
MEG_2503|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,0.0,0.0,26.0,0.0,0.0
MEG_2024|Metals|Copper_resistance|Copper_resistance_protein|COPA,127.0,262.0,242.0,63.0,205.0,166.0
MEG_1454|Drugs|betalactams|Class_A_betalactamases|BLAZ,29.0,0.0,0.0,0.0,0.0,0.0
MEG_6671|Drugs|betalactams|Class_A_betalactamases|TEM,20.0,0.0,11.0,0.0,14.0,27.0
MEG_6726|Drugs|betalactams|Class_A_betalactamases|TEM,34.0,0.0,0.0,0.0,0.0,50.0
MEG_1652|Biocides|Biguanide_resistance|Biguanide_cation_efflux|CEPAB,398.0,1239.0,1498.0,503.0,506.0,1988.0
MEG_2495|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,11.0,12.0,33.0,29.0,12.0
MEG_7263|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,2516.0,4334.0,4397.0,1595.0,3112.0,3224.0
MEG_6582|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,24.0,96.0,52.0,24.0,74.0,44.0
MEG_7304|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_6934|Drugs|betalactams|Class_A_betalactamases|TEM,127.0,59.0,13.0,0.0,81.0,169.0
MEG_3009|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,121.0,0.0,165.0,13.0,213.0,0.0
MEG_6651|Metals|Copper_resistance|Copper_resistance_protein|TCRA,0.0,1253.0,0.0,0.0,0.0,0.0
MEG_891|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,0.0,0.0,12.0,0.0
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,61070.0,114078.0,124496.0,52960.0,77639.0,88007.0
MEG_2610|Drugs|betalactams|Class_C_betalactamases|DHA,0.0,0.0,43.0,0.0,0.0,0.0
MEG_4353|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,86.0,105.0,0.0,0.0,270.0
MEG_6477|Drugs|betalactams|Class_A_betalactamases|SHV,0.0,0.0,7.0,0.0,0.0,0.0
MEG_4240|Drugs|betalactams|Class_A_betalactamases|OKP,0.0,0.0,35.0,0.0,0.0,0.0
MEG_6759|Drugs|betalactams|Class_A_betalactamases|TEM,16.0,0.0,0.0,0.0,17.0,45.0
MEG_1299|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR,661.0,0.0,1160.0,93.0,42.0,0.0
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,1.0,0.0
MEG_6691|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,22.0,0.0,0.0,0.0,25.0
