gene_accession,cipmet10_S1,cipmet10_S3,cipmet10_S2
MEG_5359|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0.0,48.0,81.0
MEG_2528|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,14.0,177.0,181.0
MEG_1182|Biocides|Acid_resistance|Acid_resistance_protein|ASR,478.0,613.0,518.0
MEG_4324|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,144.0,0.0,49.0
MEG_7019|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,297.0,407.0,544.0
MEG_3737|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,2533.0,3316.0,2579.0
MEG_7363|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0.0,0.0,42.0
MEG_2898|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETA,3221.0,4129.0,3277.0
MEG_2674|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,144.0,173.0,158.0
MEG_5355|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_5772|Biocides|Peroxide_resistance|peroxide_resistance_regulator|PERR,150.0,144.0,17.0
MEG_2456|Metals|Copper_resistance|Copper_resistance_protein|CUTC,2445.0,3019.0,2458.0
MEG_6627|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,45.0,278.0,533.0
MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,1858.0,2378.0,1976.0
MEG_406|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,6379.0,6896.0,5894.0
MEG_7853|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZNTA,15585.0,16174.0,13103.0
MEG_8273|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORC,381.0,397.0,65.0
MEG_6763|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,11.0
MEG_4326|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,293.0,15.0,47.0
MEG_4071|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRC,0.0,135.0,35.0
MEG_6604|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,35.0,0.0,0.0
MEG_1078|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,135.0,0.0,0.0
MEG_618|Drugs|betalactams|Class_C_betalactamases|ADC,17.0,0.0,0.0
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,4.0,2.0,2.0
MEG_7837|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_protein|YJCG,10997.0,10879.0,9279.0
MEG_1636|Drugs|betalactams|Class_A_betalactamases|CBLA,66.0,55.0,0.0
MEG_7864|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|ZRAS,7209.0,6175.0,5476.0
MEG_6028|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,40.0,214.0,233.0
MEG_1229|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|BEXA,120.0,167.0,155.0
