Sample,Rep,d0_16S,d0_intI1,d7_16S,d7_intI1
0,1,1556.426,42.562,170178400,1760979.375
0,1,1850.072,28.518,176943072,1837938.75
0,2,1021.204,13.17,80966496,4542796.5
0,2,781.624,32.662,79115984,4369143
0,3,1211.018,21.386,73867096,1086358.5
0,3,1244.004,6.608,73071048,1109038.5
0,4,655.671,12.585,86021872,781803.625
0,4,625.846,4.992,83774040,819597
0,5,1002.494,38.188,80868480,702948.6875
0,5,917.247,13.583,84640064,732618.75
5,1,1051.656,8.574,93246920,3489875.5
5,1,1079.209,2.676,89113248,3637357.5
5,2,831.042,11.787,74684312,356378.9375
5,2,838.858,15.542,73811960,318286.0313
5,3,895.251,18.952,78084512,541592.125
5,3,919.033,18.852,75877328,492494.375
5,4,1075.495,23.986,70692384,5064586.5
5,4,1202.607,19.914,86774912,4975716
5,5,825.175,5.476,184892400,1568666.25
5,5,804.854,12.581,194737328,1550232.625
10,1,687.796,13.209,79649480,16387152
10,1,688.669,4.515,88132624,18195680
10,2,828.932,10.297,69510048,4847446
10,2,855.294,11.172,68685312,4871661.5
10,3,792.483,20.322,73757512,1123398.875
10,3,797.262,3.563,68533504,1070483.75
10,4,463.219,1.524,82248240,3274395.25
10,4,516.479,13.999,72571840,3208033.5
10,5,854.347,12.648,179996832,1404081.75
10,5,825.648,14.485,160987504,1322068.5
20,1,1078.809,12.271,69980912,1086919.125
20,1,1077.379,13.713,71344704,1123466.75
20,2,836.997,6.618,69026928,117400.0313
20,2,719.45,18.947,68478200,123888.1563
20,3,528.058,2.71,83475112,124891.6875
20,3,585.193,0.847,86673792,135037.8438
20,4,1212.764,141.086,79916168,6649432
20,4,1070.055,118.357,73733320,6744485.5
20,5,265.047,0.001,70848592,27151446
20,5,276.418,4.03,69217704,28599464
40,1,10684.91,480.967,82784880,14290355
40,1,9471.668,448.95,87850120,13338680
40,2,30623.943,937.748,90770072,28867708
40,2,29702.725,983.794,89132272,30533652
40,3,18109.561,594.08,84085096,15132523
40,3,18351.98,506.817,181383552,15479962
40,4,9067.212,361.136,84432320,26602316
40,4,9404.293,277.383,84948800,28082490
40,5,9562.49,386.932,84395008,40981056
40,5,9696.396,326.699,97895296,42539576
