Sample,Rep,d0_16S,d7_16S,d0_intI1,d7_intI1
10,1,3573.41,84882840,79.05,7689850
10,1,4114.29,82459808,43.91,7243486.5
10,2,2717.08,83740664,69.92,24688770
10,2,2542.97,88002408,85.4,23650516
10,3,2750.34,71654776,76.44,12822524
10,3,2528.08,70916528,55,12559336
10,4,1428.34,78348152,33.87,28988208
10,4,1409.11,68115040,30.64,30797554
10,5,1422.49,85161936,26.54,2587327.25
10,5,1366.46,82027688,32.19,2619310.5
20,1,2668.6,78032272,35.74,2321118.25
20,1,2728.12,77252640,39.27,2285687.75
20,2,5947.64,87396512,87.67,6382101.5
20,2,4279.49,95357824,146.31,6761356
20,3,2540.55,92664464,50.48,14351867
20,3,2215.31,93064112,61.38,14225198
20,4,2696.61,93495480,60.71,3453662
20,4,2592.14,72819872,56.25,3427892
20,5,3986.45,70959032,77.16,8489323
20,5,4425.08,55863060,77.01,8618292
40,1,1096.97,77547336,32.49,3898862
40,1,971.56,80789072,25.19,3940699.75
40,2,3270.78,85971744,32.58,1083442
40,2,1166.24,86694072,35.39,1109199.88
40,3,1352.52,74575192,18.78,7122641
40,3,1483.14,70361784,14.29,7341102
40,4,1998.93,123801736,33.5,27883208
40,4,2155.88,111872368,36.38,25353588
40,5,814.5,81932880,13.61,2137883.25
40,5,811.18,72269624,8.04,2055202.13
5,1,43598.77,51064396,1166.05,339675.28
5,1,48035.37,50683720,1226.62,316024.44
5,2,31051.87,80708632,945.24,566006.38
5,2,29690.88,88390632,916.63,586718.31
5,3,38827.27,76971608,1134.5,7343568
5,3,37706.6,76093312,1049.84,6837131.5
5,4,32324.91,85464560,833.59,10109203
5,4,33671.4,88365232,854.03,10137053
5,5,17010.51,71607536,479.61,1945070.88
5,5,19160.71,69741216,552.32,1981737.13
0,1,8038.78,71358544,198.12,273985.25
0,1,8916.72,61036348,288.82,219465.38
0,2,11062.49,79450464,392.23,4795301.5
0,2,10870.69,80520824,395.4,5024442
0,3,33759.6,82270144,760.61,905356.81
0,3,32096.48,86077352,797.32,966505.38
0,4,33693.74,98204704,1034.57,11099535
0,4,30919.05,89354304,1172.26,10486168
0,5,41422.53,92307552,2161.01,462903.84
0,5,36760.44,85646504,2303.35,442934.34
