Sample,Rep,d0_16S,d7_16S,d0_intI1,d7_intI1
0,1,8990.875,128135488.000,153.226,1762073.250
0,1,10777.048,127961832.000,191.947,1902062.750
0,2,10352.251,130375976.000,342.886,1389989.625
0,2,9684.465,122236064.000,342.211,1308416.750
0,3,6548.501,72490360.000,160.388,382273.844
0,3,6582.377,71073728.000,97.285,387547.031
0,4,6300.708,62353944.000,125.163,747608.500
0,4,5921.026,66692976.000,132.742,727472.750
0,5,13177.735,60130400.000,235.374,221734.031
0,5,14397.671,63093056.000,263.910,254611.625
10,1,1753.984,61271320.000,21.765,2955666.250
10,1,1583.998,64442264.000,24.229,3344055.500
10,2,7888.633,62330520.000,103.996,3657260.000
10,2,6391.509,67839800.000,104.336,3925854.250
10,3,6680.779,54139292.000,110.298,2361974.500
10,3,6820.206,52527972.000,89.510,2450889.250
10,4,5898.319,62256972.000,95.950,9218667.000
10,4,5561.865,55605452.000,98.513,8807126.000
10,5,8494.161,123078424.000,121.377,627475.688
10,5,8629.722,73204272.000,133.678,589744.625
20,1,5892.893,61480244.000,85.071,3152336.250
20,1,5443.647,63230204.000,103.768,3379655.000
20,2,5818.188,50920216.000,77.397,4738341.500
20,2,5639.050,59398720.000,65.567,4116481.250
20,3,8079.777,54023480.000,108.336,4891682.500
20,3,8130.039,124839152.000,131.565,4839933.000
20,4,5669.335,128391608.000,67.233,2723296.000
20,4,4795.589,64547976.000,48.532,1336266.250
20,5,2777.199,151327584.000,45.724,617898.750
20,5,2330.093,140595776.000,42.723,717294.000
40,1,3460.391,40198524.000,52.666,506713.656
40,1,3537.028,121242120.000,74.963,455853.969
40,2,4021.179,50856948.000,79.104,701563.000
40,2,5121.350,50403336.000,101.702,631166.813
40,3,5038.968,20849848.000,53.559,4915021.000
40,3,5308.604,27741396.000,80.152,4395612.500
40,4,2747.607,41633444.000,376.730,4616623.000
40,4,2454.406,40964940.000,358.787,4775364.500
40,5,4129.231,43079380.000,68.686,2661673.000
40,5,4559.963,43416948.000,71.082,2555651.500
5,1,4486.292,69697224.000,128.608,366051.531
5,1,4874.950,68448832.000,110.200,360984.906
5,2,5385.811,58541768.000,83.563,6813400.500
5,2,5398.553,63434228.000,66.892,7984689.500
5,3,5616.964,67846896.000,91.559,1404695.625
5,3,5698.279,58306612.000,86.570,1414061.875
5,4,3929.184,67254376.000,46.448,4625800.500
5,4,3232.794,66443976.000,66.402,4363340.000
5,5,14136.020,58898892.000,198.812,324106.750
5,5,12978.800,62260040.000,174.262,355264.469
2.5,1,9697.468,61056148.000,188.354,1024067.875
2.5,1,8920.045,58908980.000,184.082,920425.688
2.5,2,14574.137,66453232.000,362.567,1020578.063
2.5,2,15715.731,63540188.000,376.402,1018313.313
2.5,3,24769.191,56932792.000,366.467,196828.719
2.5,3,25582.887,53532100.000,350.511,189126.438
2.5,4,7632.690,63678436.000,156.556,718018.750
2.5,4,6655.697,62577068.000,129.836,722979.750
2.5,5,20454.531,62464760.000,368.217,310732.375
2.5,5,21415.088,40784216.000,338.584,326431.000
