gene_accession,cipdic0none_S3,cipdic0_S2,cipdic0none_S2,cipdic0none_S1,cipdic0_S3,cipdic0_S1
MEG_1095|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,62.0,309.0,1260.0,121.0,92.0,824.0
MEG_6777|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,63.0,0.0,0.0,24.0
MEG_8700|Multi-compount|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITABCD,5505.0,5792.0,13059.0,4031.0,2648.0,11503.0
MEG_6591|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,97.0,0.0,29.0,0.0,104.0
MEG_2633|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0.0,42.0,0.0,0.0,0.0,48.0
MEG_2789|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0.0,0.0,0.0,0.0,88.0,0.0
MEG_7135|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,416.0,0.0,0.0,0.0,397.0,251.0
MEG_6130|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_171|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,16.0,20.0,0.0,0.0,0.0,0.0
MEG_5883|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0.0,9.0,59.0,0.0,11.0,17.0
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,114.0,76.0,167.0,95.0,91.0,122.0
MEG_6932|Drugs|betalactams|Class_A_betalactamases|TEM,65.0,31.0,174.0,0.0,0.0,95.0
MEG_1016|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,23.0,0.0,0.0,16.0,132.0,11.0
MEG_2602|Drugs|betalactams|Class_C_betalactamases|DHA,0.0,0.0,0.0,0.0,23.0,0.0
MEG_8013|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0.0,72.0,17.0,0.0,12.0,0.0
MEG_4170|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKC,6679.0,5595.0,7856.0,7652.0,7133.0,9411.0
MEG_2952|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,515.0,834.0,1192.0,1482.0,565.0,1564.0
