gene_accession,cip20_S1,cip20_S3,cip20_S2
MEG_6161|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,64.0,0.0,0.0
MEG_2500|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,108.0,16.0,0.0
MEG_2785|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,0.0,12.0,58.0
MEG_7811|Metals|Iron_resistance|Iron_resistance_protein|YBTP,6254.0,4035.0,581.0
MEG_6773|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,24.0,0.0
MEG_848|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,28.0,0.0,0.0
MEG_7028|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,100.0,61.0,46.0
MEG_2335|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,0.0,11.0
MEG_3590|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,1.0,0.0
MEG_7263|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,3399.0,4787.0,1982.0
MEG_8039|Drugs|betalactams|Class_A_betalactamases|CTX,27.0,0.0,21.0
MEG_890|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,184.0,0.0,0.0
MEG_6627|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,484.0,203.0,200.0
MEG_2216|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,0.0,17.0
MEG_2846|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,0.0,26.0,33.0
MEG_893|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,35.0,0.0,0.0
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0.0,35.0,15.0
MEG_142|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,7.0,0.0
MEG_1231|Metals|Copper_resistance|Copper_resistance_regulator|BHSA,1993.0,2951.0,1127.0
MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS,3099.0,4337.0,1800.0
MEG_8634|Drugs|Lipopeptides|Colistin-resistant_mutant|PMRAR|RequiresSNPConfirmation,4541.0,6613.0,2555.0
MEG_4004|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,1440.0,2289.0,882.0
MEG_3834|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,0.0,132.0,2237.0
MEG_6958|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERD,73.0,23.0,62.0
MEG_6625|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,340.0,157.0,197.0
MEG_2620|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0.0,5.0,0.0
MEG_6918|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,14.0,0.0
MEG_2684|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,185.0,231.0,95.0
MEG_6670|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,26.0,0.0
MEG_2679|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,163.0,228.0,100.0
MEG_1364|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,17.0
MEG_4976|Drugs|betalactams|Class_D_betalactamases|OXA,0.0,215.0,20.0
MEG_7849|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZINT,3507.0,5526.0,2145.0
MEG_6506|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILP,307.0,558.0,548.0
MEG_7853|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZNTA,16721.0,23119.0,9130.0
MEG_3747|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB,19522.0,28098.0,11029.0
MEG_4355|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,410.0,434.0,81.0
