gene_accession,cipmet0none_S1,cipmet0none_S2,cipmet0none_S3
MEG_4368|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,85.0,0.0
MEG_2796|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0.0,16.0,0.0
MEG_6576|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,482.0,716.0,669.0
MEG_3957|Drugs|betalactams|Class_C_betalactamases|MIR,18.0,0.0,0.0
MEG_2972|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,3.0,3.0,0.0
MEG_7104|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,51.0,64.0,0.0
MEG_3168|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|GOLT,0.0,0.0,127.0
MEG_2618|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,48.0,20.0,39.0
MEG_701|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEN,864.0,23.0,0.0
MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA,6703.0,9259.0,9058.0
MEG_2457|Metals|Copper_resistance|Copper_resistance_protein|CUTE,9210.0,12756.0,12068.0
MEG_8712|Drugs|betalactams|Class_A_betalactamases|TEM,31.0,0.0,0.0
MEG_3512|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KPN,625.0,1885.0,1333.0
MEG_6912|Drugs|betalactams|Class_A_betalactamases|TEM,24.0,0.0,0.0
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,4922.0,5412.0,5054.0
MEG_5896|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,10.0,74.0,36.0
MEG_2118|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,1466.0,1585.0,1729.0
MEG_6798|Drugs|betalactams|Class_A_betalactamases|TEM,19.0,0.0,0.0
MEG_6624|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,98.0,66.0,167.0
MEG_3230|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1365|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,90.0,0.0
