gene_accession,cipmet40_S3,cipmet40_S1
MEG_1217|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,19.0,0.0
MEG_1084|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,487.0,103.0
MEG_2506|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,13.0
MEG_1190|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,4898.0,6135.0
MEG_6617|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,50.0,102.0
MEG_1360|Drugs|betalactams|Class_A_betalactamases|BLAZ,30.0,0.0
MEG_1277|Drugs|betalactams|Class_C_betalactamases|BLAEC,39.0,224.0
MEG_2087|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,5190.0,8936.0
MEG_2456|Metals|Copper_resistance|Copper_resistance_protein|CUTC,2718.0,3715.0
MEG_4170|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKC,7004.0,8545.0
MEG_8018|Drugs|betalactams|Class_C_betalactamases|CMH,17.0,0.0
MEG_6625|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,57.0,84.0
MEG_3515|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNF,624.0,47.0
MEG_6505|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILF,18.0,14.0
MEG_2020|Metals|Copper_resistance|Copper_resistance_protein|COPA,12730.0,14110.0
MEG_2724|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB,2725.0,2968.0
MEG_2191|Drugs|betalactams|Class_A_betalactamases|CTX,24.0,0.0
MEG_8144|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,892.0,145.0
MEG_6653|Metals|Copper_resistance|Copper_resistance_protein|TCRY,313.0,341.0
MEG_3460|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KMRA,2598.0,398.0
MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,8674.0,9954.0
MEG_3861|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,8.0,0.0
MEG_1698|Drugs|betalactams|Class_A_betalactamases|CFX,0.0,18.0
MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,2616.0,3186.0
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,3664.0,5085.0
MEG_1164|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,1794.0,1766.0
MEG_6624|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,39.0,85.0
MEG_4004|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,1547.0,1881.0
MEG_8634|Drugs|Lipopeptides|Colistin-resistant_mutant|PMRAR|RequiresSNPConfirmation,4856.0,6021.0
MEG_1278|Drugs|betalactams|Class_C_betalactamases|BLAEC,395.0,539.0
MEG_7267|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,2761.0,3097.0
MEG_6982|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET38,227.0,95.0
MEG_1211|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,1169.0,1335.0
MEG_6909|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,138.0
MEG_4160|Metals|Chromium_resistance|Chromium_resistance_protein|NFSA,4396.0,5409.0
MEG_2447|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB,8457.0,9631.0
MEG_2609|Drugs|betalactams|Class_C_betalactamases|DHA,24.0,18.0
