gene_accession,cipbeta0_S1,cipbeta0_S3,cipbeta0_S2
MEG_3934|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXT,0,46,0
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0,0,0
MEG_2691|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC,1608,1733,1182
MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,57,37,96
MEG_7044|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,142,836,0
MEG_7313|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,10,0,4
MEG_5384|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,0,0
MEG_2686|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,159,174,100
MEG_2502|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,27,30,49
MEG_4332|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,0,48,0
MEG_7131|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,34,46
MEG_2452|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSR,4518,4828,3296
MEG_2512|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,20,0,0
MEG_1382|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,0
MEG_1275|Drugs|betalactams|Class_C_betalactamases|BLAEC,226,345,191
MEG_913|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0
MEG_5828|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACE,13,0,0
MEG_3598|Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|LMRP,0,0,147
MEG_7273|Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIB,0,0,80
MEG_8290|Drugs|betalactams|Mutant_porin_proteins|OMPK36|RequiresSNPConfirmation,1882,1924,1283
MEG_1143|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSA,9483,2463,4546
MEG_7473|Drugs|Glycopeptides|VanC-type_regulator|VANRC,0,0,17
MEG_1652|Biocides|Biguanide_resistance|Biguanide_cation_efflux|CEPAB,216,674,465
MEG_4333|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,0,92,50
MEG_6861|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,22
MEG_2950|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,0
MEG_2616|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0,26,12
MEG_1151|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,8330,3207,4323
MEG_4004|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,1467,1592,1171
MEG_5814|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB,5170,6021,4169
MEG_7039|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,86,496,0
MEG_4174|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKE,1041,1210,777
MEG_2646|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,19,33,59
MEG_1122|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|ARNA,0,0,333
MEG_1197|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS|RequiresSNPConfirmation,0,0,2
MEG_2636|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,75,0,0
MEG_6710|Drugs|betalactams|Class_A_betalactamases|TEM,0,40,0
MEG_3913|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXG,0,0,30
MEG_4364|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0,137,80
MEG_957|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,25,0,0
MEG_3586|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0,0,0
MEG_352|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,45
MEG_849|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0
MEG_6807|Drugs|betalactams|Class_A_betalactamases|TEM,0,50,0
MEG_8080|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|EPTB,2992,4317,2835
MEG_6746|Drugs|betalactams|Class_A_betalactamases|TEM,0,21,0
MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,102,17,161
MEG_797|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,21
MEG_1026|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,36
MEG_2497|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,56
MEG_7118|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,0
MEG_7179|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,0,0,0
MEG_2952|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,143,701,371
MEG_7106|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,0
MEG_2690|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,1279,1220,870
MEG_7040|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,117,705,0
MEG_6836|Drugs|betalactams|Class_A_betalactamases|TEM,18,37,0
MEG_402|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,78,58,68
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,1,0,2
MEG_2683|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,152,163,116
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1,1,0
MEG_6878|Drugs|betalactams|Class_A_betalactamases|TEM,39,181,15
MEG_324|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,6,0
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,2195,2313,1610
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,0,2
MEG_405|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,3354,3713,2573
MEG_3661|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,768,767,592
MEG_171|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,11,67,0
MEG_1217|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,0,0,16
MEG_6877|Drugs|betalactams|Class_A_betalactamases|TEM,46,112,0
MEG_7499|Drugs|Glycopeptides|VanC-type_regulator|VANSC,66,277,0
MEG_703|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADER,0,25,68
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,0,0,0
MEG_1116|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,0,0,0
MEG_914|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,0,0,0
MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,0,0,28
MEG_7050|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0,26,0
